video_id,channel_id,channel_name,tier,title,published_at,duration_sec,view_count,like_count,comment_count,comments_disabled,engagement_rate,duration_min,duration_bucket,publish_year,publish_month,days_since_publish,views_per_day,subscriber_count,total_view_count,channel_created_at
BGxghJAjiuE,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"A Gathering of Heroes | Critical Role Abridged | Campaign 3, Episode 76",2025-11-04 16:00:25+00:00,4256,22139,466,32,False,0.0224942409322914,70.9,60_to_120,2025,2025-11,152,145.65,2810000,1302841102,2018-05-23 17:03:19+00:00
METTzGKzmxU,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Dispatch One-Shot,2025-11-03 20:00:30+00:00,15288,524602,20295,754,False,0.040123750957869,254.8,180_plus,2025,2025-11,153,3428.77,2810000,1302841102,2018-05-23 17:03:19+00:00
hdLPwuKMlIY,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Overview of the Overture | Previously On... | Campaign 4, Ep 1-4 Recap",2025-10-28 21:01:04+00:00,1010,409104,21491,820,False,0.0545362548398451,16.8,under_60,2025,2025-10,159,2572.98,2810000,1302841102,2018-05-23 17:03:19+00:00
XM7nyfeW8eM,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"An Ancient Flame | Critical Role Abridged | Campaign 3, Episode 75",2025-10-28 17:00:55+00:00,3962,16697,369,11,False,0.0227585793855183,66.0,60_to_120,2025,2025-10,159,105.01,2810000,1302841102,2018-05-23 17:03:19+00:00
jfUPvccklhY,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Stone-Faced | Critical Role | Campaign 4, Episode 4",2025-10-27 19:00:48+00:00,18697,2280680,47589,4459,False,0.0228212638335934,311.6,180_plus,2025,2025-10,160,14254.25,2810000,1302841102,2018-05-23 17:03:19+00:00
QX2bXJXmK3g,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Roots Between Worlds | Critical Role Abridged | Campaign 3, Episode 74",2025-10-21 17:00:37+00:00,4135,25519,434,26,False,0.0180257847094321,68.9,60_to_120,2025,2025-10,166,153.73,2810000,1302841102,2018-05-23 17:03:19+00:00
-9sEmHv26js,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"The Snipping of Shears | Critical Role | Campaign 4, Episode 3",2025-10-20 19:00:01+00:00,18054,2694102,53857,4809,False,0.0217757159899662,300.9,180_plus,2025,2025-10,167,16132.35,2810000,1302841102,2018-05-23 17:03:19+00:00
3LT10ASSs7c,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Kindling the Spirits | Critical Role Abridged | Campaign 3, Episode 73",2025-10-14 17:00:08+00:00,4748,24828,471,19,False,0.019735782181408,79.1,60_to_120,2025,2025-10,173,143.51,2810000,1302841102,2018-05-23 17:03:19+00:00
mBQMuDAe4rE,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Broken Wing | Critical Role | Campaign 4, Episode 2",2025-10-13 19:00:42+00:00,16399,3552404,65968,5873,False,0.0202232065947454,273.3,180_plus,2025,2025-10,174,20416.11,2810000,1302841102,2018-05-23 17:03:19+00:00
h3MYMD08Wws,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Narrative Telephone: Disaster Down Under,2025-10-08 19:00:42+00:00,3037,31189,1237,129,False,0.0437974927057616,50.6,under_60,2025,2025-10,179,174.24,2810000,1302841102,2018-05-23 17:03:19+00:00
HvpF1EhOyKw,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Critical Role Cooldown | Campaign 4, Episode 1 | Beacon Exclusive!",2025-10-08 17:00:32+00:00,1605,478998,24282,988,False,0.0527559614027616,26.8,under_60,2025,2025-10,179,2675.97,2810000,1302841102,2018-05-23 17:03:19+00:00
61nqSxLFnqI,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Phantasmal Parley | Critical Role Abridged | Campaign 3, Episode 72",2025-10-07 17:00:08+00:00,4502,21192,423,18,False,0.0208097395243488,75.0,60_to_120,2025,2025-10,180,117.73,2810000,1302841102,2018-05-23 17:03:19+00:00
3Mbynm0pGX0,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"The Fall of Thjazi Fang | Critical Role | Campaign 4, Episode 1",2025-10-06 19:00:08+00:00,16068,6026540,142215,11112,False,0.0254419617226468,267.8,180_plus,2025,2025-10,181,33295.8,2810000,1302841102,2018-05-23 17:03:19+00:00
-QT4jwr_2io,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Mist and Whimsy | Critical Role Abridged | Campaign 3, Episode 71",2025-09-30 17:00:00+00:00,4555,32191,505,21,False,0.0163399707992917,75.9,60_to_120,2025,2025-09,187,172.14,2810000,1302841102,2018-05-23 17:03:19+00:00
Z9dB9aPJuEs,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,WEDDING ONE SHOT SESSION ZERO | JESTER & FJORDS WEDDING,2025-09-25 19:00:35+00:00,1172,401015,24796,1462,False,0.0654788474246599,19.5,under_60,2025,2025-09,192,2088.62,2810000,1302841102,2018-05-23 17:03:19+00:00
L6MASQbEBCc,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Embattled in Bassuras | Critical Role Abridged | Campaign 3, Episode 70",2025-09-23 17:00:33+00:00,4250,23918,521,15,False,0.0224099004933522,70.8,60_to_120,2025,2025-09,194,123.29,2810000,1302841102,2018-05-23 17:03:19+00:00
gCNugmcewYc,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Thank Goodness it's Thursday! CRF's 90s Charity One-Shot Benefitting NCWIT | Sponsored by Ebay Live,2025-09-19 06:56:24+00:00,17132,167851,4452,184,False,0.0276197341689951,285.5,180_plus,2025,2025-09,198,847.73,2810000,1302841102,2018-05-23 17:03:19+00:00
