video_id,channel_id,channel_name,tier,title,published_at,duration_sec,view_count,like_count,comment_count,comments_disabled,engagement_rate,duration_min,duration_bucket,publish_year,publish_month,days_since_publish,views_per_day
sxheCPQ9mBo,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,The Long Rest | The Winters Feast & Himmelsschloss: The Castle in the Sky,2025-12-19 20:00:53+00:00,3043,76624,3440,120,False,0.04646063896429317,50.7,under_60,2025,2025-12,107,716.11
74NkbJlV604,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Leveling Up The Soldier Table | Lvl 3 to Lvl 4,2025-12-17 20:00:13+00:00,1067,368953,19638,785,False,0.055353933969909445,17.8,under_60,2025,2025-12,109,3384.89
3c8Pxk_LZ68,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Rush for the Bloody Bridge | Critical Role Abridged | Campaign 3, Episode 82",2025-12-16 16:00:06+00:00,4548,16893,360,14,False,0.022139347658793582,75.8,60_to_120,2025,2025-12,110,153.57
NR4rk3oma8A,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"To the Hounds! | Critical Role | Campaign 4, Episode 9",2025-12-15 20:00:22+00:00,15314,1322259,26414,1799,False,0.02133696953471294,255.2,180_plus,2025,2025-12,111,11912.24
rGe2SC_yhNM,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,10 Year Anniversary Charity Auction | Benefitting CRF | Sponsored by eBay Live,2025-12-11 06:25:26+00:00,12521,125040,3838,119,False,0.03164587332053743,208.7,180_plus,2025,2025-12,115,1087.3
e_AowMiNT1o,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"The Eve of the Red Moon | Critical Role Abridged | Campaign 3, Episode 81",2025-12-09 13:01:20+00:00,4602,15942,377,15,False,0.024589135616610212,76.7,60_to_120,2025,2025-12,117,136.26
UBgjcSc9QOw,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Fanged Revenge | Critical Role | Campaign 4, Episode 8",2025-12-08 20:00:19+00:00,16170,1275311,28900,2270,False,0.024441097112782684,269.5,180_plus,2025,2025-12,118,10807.72
fqLx5pOidG4,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"A Test of Truth | Critical Role Abridged | Campaign 3, Episode 80",2025-12-02 16:01:07+00:00,4046,21473,416,28,False,0.02067712941833931,67.4,60_to_120,2025,2025-12,124,173.17
jaiksF2l_-k,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"To Hurt Is to Heal | Critical Role Abridged | Campaign 3, Episode 79",2025-11-25 16:01:15+00:00,4676,23604,440,28,False,0.019827147941026944,77.9,60_to_120,2025,2025-11,131,180.18
qxUDUV2iQvI,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"On the Scent | Critical Role | Campaign 4, Episode 7",2025-11-24 20:00:53+00:00,14759,1470771,29976,1830,False,0.021625392396232995,246.0,180_plus,2025,2025-11,132,11142.2
qxrSlzKwh9w,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Critical Role: Jester and Fjord’s Wedding - Live from Radio City Music Hall,2025-11-21 20:00:52+00:00,15844,656077,22962,1502,False,0.03728830609821713,264.1,180_plus,2025,2025-11,135,4859.83
RiI_APSGw8U,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Inside the Mighty Nein: Premiere Cocktail Party | Livestream,2025-11-20 04:43:40+00:00,6611,137704,5470,189,False,0.041095393016905825,110.2,60_to_120,2025,2025-11,136,1012.53
pN2xi8-bm4c,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Fractures | Critical Role Abridged | Campaign 3, Episode 78",2025-11-18 16:01:21+00:00,4974,17749,383,27,False,0.02309989295171559,82.9,60_to_120,2025,2025-11,138,128.62
WP8XS5SG04Y,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Knives and Thorns | Critical Role | Campaign 4, Episode 6",2025-11-17 20:00:25+00:00,16759,1725100,34589,2668,False,0.021597008869051068,279.3,180_plus,2025,2025-11,139,12410.79
xFZtnxqNjFE,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"The Promise and the Price | Critical Role Abridged | Campaign 3, Episode 77",2025-11-11 16:01:28+00:00,4580,20898,376,19,False,0.018901330270839314,76.3,60_to_120,2025,2025-11,145,144.12
w8ddrhcaqLk,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Branching Paths | Critical Role | Campaign 4, Episode 5",2025-11-10 20:00:00+00:00,13456,1744318,38507,2629,False,0.023582855878343283,224.3,180_plus,2025,2025-11,146,11947.38
BGxghJAjiuE,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"A Gathering of Heroes | Critical Role Abridged | Campaign 3, Episode 76",2025-11-04 16:00:25+00:00,4256,22139,466,32,False,0.02249424093229143,70.9,60_to_120,2025,2025-11,152,145.65
METTzGKzmxU,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Dispatch One-Shot,2025-11-03 20:00:30+00:00,15288,524602,20295,754,False,0.04012375095786901,254.8,180_plus,2025,2025-11,153,3428.77
hdLPwuKMlIY,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Overview of the Overture | Previously On... | Campaign 4, Ep 1-4 Recap",2025-10-28 21:01:04+00:00,1010,409104,21491,820,False,0.05453625483984512,16.8,under_60,2025,2025-10,159,2572.98
XM7nyfeW8eM,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"An Ancient Flame | Critical Role Abridged | Campaign 3, Episode 75",2025-10-28 17:00:55+00:00,3962,16697,369,11,False,0.022758579385518358,66.0,60_to_120,2025,2025-10,159,105.01
jfUPvccklhY,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Stone-Faced | Critical Role | Campaign 4, Episode 4",2025-10-27 19:00:48+00:00,18697,2280680,47589,4459,False,0.02282126383359349,311.6,180_plus,2025,2025-10,160,14254.25
QX2bXJXmK3g,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Roots Between Worlds | Critical Role Abridged | Campaign 3, Episode 74",2025-10-21 17:00:37+00:00,4135,25519,434,26,False,0.018025784709432186,68.9,60_to_120,2025,2025-10,166,153.73
-9sEmHv26js,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"The Snipping of Shears | Critical Role | Campaign 4, Episode 3",2025-10-20 19:00:01+00:00,18054,2694102,53857,4809,False,0.02177571598996623,300.9,180_plus,2025,2025-10,167,16132.35
3LT10ASSs7c,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Kindling the Spirits | Critical Role Abridged | Campaign 3, Episode 73",2025-10-14 17:00:08+00:00,4748,24828,471,19,False,0.019735782181408087,79.1,60_to_120,2025,2025-10,173,143.51
mBQMuDAe4rE,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Broken Wing | Critical Role | Campaign 4, Episode 2",2025-10-13 19:00:42+00:00,16399,3552404,65968,5873,False,0.020223206594745417,273.3,180_plus,2025,2025-10,174,20416.11
h3MYMD08Wws,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Narrative Telephone: Disaster Down Under,2025-10-08 19:00:42+00:00,3037,31189,1237,129,False,0.043797492705761644,50.6,under_60,2025,2025-10,179,174.24
HvpF1EhOyKw,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Critical Role Cooldown | Campaign 4, Episode 1 | Beacon Exclusive!",2025-10-08 17:00:32+00:00,1605,478998,24282,988,False,0.0527559614027616,26.8,under_60,2025,2025-10,179,2675.97
